,advert_count,prevalence_percent,median_salary_when_present
has_ai_ml,16,0.06954102920723226,930000.0
has_data_analysis,13,0.05650208623087622,600000.0
has_data_engineering,10,0.04346314325452017,1200000.0
has_software,82,0.35639777468706535,840000.0
has_cloud_devops,19,0.08257997218358831,1080000.0
has_cybersecurity,8,0.03477051460361613,615000.0
has_networks_systems,11,0.04780945757997219,505680.0
has_soft_communication,1118,4.859179415855355,420000.0
has_soft_teamwork,200,0.8692628650904033,428610.0
has_soft_adaptability,5,0.021731571627260086,360000.0
has_soft_problem_solving,125,0.5432892906815021,570000.0
has_soft_creativity,141,0.6128303198887343,450000.0
has_soft_initiative_responsibility,1477,6.419506258692628,360000.0
has_soft_leadership,108,0.46940194714881783,453000.0
has_soft_customer_interaction,391,1.6994089012517386,420000.0
