,advert_count,prevalence_percent,median_salary_when_present
has_ai_ml,71,0.06964881302727094,47500.0
has_data_analysis,145,0.14224053364724348,42500.0
has_data_engineering,222,0.2177751618599176,47000.0
has_software,427,0.4188738473611928,45000.0
has_cloud_devops,205,0.20109868550127527,50000.0
has_cybersecurity,178,0.17461251716696097,45000.0
has_networks_systems,194,0.19030802432803612,32500.0
has_soft_communication,11045,10.834804787129684,32500.0
has_soft_teamwork,1440,1.4125956444967627,34000.0
has_soft_adaptability,2378,2.332744751814793,35000.0
has_soft_problem_solving,2185,2.143417696684324,35000.0
has_soft_creativity,3193,3.1322346478320577,33500.0
has_soft_initiative_responsibility,10745,10.540514027859524,33810.0
has_soft_leadership,5813,5.702373945458112,37500.0
has_soft_customer_interaction,10666,10.463017461251717,32500.0
