,advert_count,prevalence_percent,median_salary_when_present
has_ai_ml,179,0.1457524163144995,51840.0
has_data_analysis,360,0.2931333512470381,50544.0
has_data_engineering,321,0.26137723819527564,52896.0
has_software,986,0.8028596786932766,51840.0
has_cloud_devops,325,0.26463427543135387,56196.0
has_cybersecurity,268,0.2182214948172395,48948.0
has_networks_systems,444,0.3615311332046804,38358.0
has_soft_communication,16873,13.738997321086874,41004.0
has_soft_teamwork,13413,10.921660111879229,38880.0
has_soft_adaptability,123,0.1001538950094047,36000.0
has_soft_problem_solving,4692,3.8205046779197303,41268.0
has_soft_creativity,6048,4.924640300950241,41994.0
has_soft_initiative_responsibility,10679,8.695475161019777,38880.0
has_soft_leadership,5132,4.178778773888332,45120.0
has_soft_customer_interaction,12837,10.452646749883968,38880.0
